"CONVOCATORIA","SEMESTRE DE CONVOCATORIA","BENEFICIO OTORGADO","DEPARTAMENTO DE NACIMIENTO","MUNICIPIO DE NACIMIENTO","FECHA DE NACIMIENTO","GÉNERO","SUBREGIÓN DE RESIDENCIA","MUNICIPIO DE RESIDENCIA","ESTRATO","GRUPO ETNICO","VICTIMA DEL CONFLICTO ARMADO","UNIVERSIDAD","PROGRAMA CURSADO","MUNICIPIO OFERTA","TIPO DE FORMACIÓN","GRADUADO"
"2,015","2","MATRICULA Y SOSTENIMIENTO","ANTIOQUIA","JARDIN","1995 Jun 09 12:00:00 AM","FEMENINO","SUROESTE","JARDIN","ESTRATO 2","NINGUNO","NO","UNIVERSIDAD DE ANTIOQUIA","BIOLOGIA","ANDES","UNIVERSITARIA","NO"
"2,015","2","MATRICULA Y SOSTENIMIENTO","ANTIOQUIA","CIUDAD BOLIVAR","1994 May 28 12:00:00 AM","MASCULINO","SUROESTE","CIUDAD BOLIVAR","ESTRATO 2","NINGUNO","SI","UNIVERSIDAD DE ANTIOQUIA","BIOLOGIA","ANDES","UNIVERSITARIA","NO"
"2,015","2","MATRICULA Y SOSTENIMIENTO","ANTIOQUIA","ANDES","1997 Jan 02 12:00:00 AM","FEMENINO","SUROESTE","ANDES","ESTRATO 1","NINGUNO","NO","UNIVERSIDAD DE ANTIOQUIA","BIOLOGIA","ANDES","UNIVERSITARIA","SI"
"2,015","2","MATRICULA Y SOSTENIMIENTO","ANTIOQUIA","ANDES","1997 Aug 01 12:00:00 AM","FEMENINO","SUROESTE","JARDIN","ESTRATO 3","NINGUNO","NO","UNIVERSIDAD DE ANTIOQUIA","BIOLOGIA","ANDES","UNIVERSITARIA","SI"
"2,015","2","MATRICULA Y SOSTENIMIENTO","ANTIOQUIA","JARDIN","1996 Jul 21 12:00:00 AM","FEMENINO","SUROESTE","JARDIN","ESTRATO 2","NINGUNO","NO","UNIVERSIDAD DE ANTIOQUIA","BIOLOGIA","ANDES","UNIVERSITARIA","NO"
"2,015","2","MATRICULA Y SOSTENIMIENTO","ANTIOQUIA","ANDES","1994 Sep 07 12:00:00 AM","MASCULINO","SUROESTE","ANDES","ESTRATO 2","NINGUNO","NO","UNIVERSIDAD DE ANTIOQUIA","BIOLOGIA","ANDES","UNIVERSITARIA","NO"
"2,015","2","MATRICULA Y SOSTENIMIENTO","ANTIOQUIA","ANDES","1998 Jan 28 12:00:00 AM","MASCULINO","SUROESTE","ANDES","ESTRATO 2","NINGUNO","NO","UNIVERSIDAD DE ANTIOQUIA","BIOLOGIA","ANDES","UNIVERSITARIA","SI"
"2,015","2","MATRICULA Y SOSTENIMIENTO","CALDAS","SUPIA","1997 Nov 10 12:00:00 AM","MASCULINO","SUROESTE","CONCORDIA","ESTRATO 1","NINGUNO","NO","UNIVERSIDAD DE ANTIOQUIA","INGENIERIA AGROPECUARIA","ANDES","UNIVERSITARIA","SI"
"2,015","2","MATRICULA Y SOSTENIMIENTO","ANTIOQUIA","BETANIA","1993 Mar 10 12:00:00 AM","MASCULINO","SUROESTE","BETANIA","ESTRATO 2","NINGUNO","NO","UNIVERSIDAD DE ANTIOQUIA","BIOLOGIA","ANDES","UNIVERSITARIA","SI"
"2,015","2","MATRICULA Y SOSTENIMIENTO","ANTIOQUIA","CIUDAD BOLIVAR","1995 Jun 14 12:00:00 AM","MASCULINO","SUROESTE","CIUDAD BOLIVAR","ESTRATO 1","NINGUNO","NO","UNIVERSIDAD DE ANTIOQUIA","INGENIERIA AGROPECUARIA","ANDES","UNIVERSITARIA","SI"
"2,015","2","MATRICULA Y SOSTENIMIENTO","ANTIOQUIA","ANDES","1996 Dec 18 12:00:00 AM","MASCULINO","SUROESTE","ANDES","ESTRATO 1","NINGUNO","NO","UNIVERSIDAD DE ANTIOQUIA","INGENIERIA AGROPECUARIA","ANDES","UNIVERSITARIA","SI"
"2,015","2","SOSTENIMIENTO","ANTIOQUIA","SAN FRANCISCO","1996 Sep 15 12:00:00 AM","FEMENINO","SUROESTE","CIUDAD BOLIVAR","ESTRATO 1","NINGUNO","NO","UNIVERSIDAD DE ANTIOQUIA","INGENIERIA AGROPECUARIA","ANDES","UNIVERSITARIA","SI"
"2,014","2","MATRICULA Y SOSTENIMIENTO","ANTIOQUIA","NECOCLI","1997 May 11 12:00:00 AM","MASCULINO","URABA","NECOCLI","ESTRATO 1","NINGUNO","NO","TECNOLOGICO DE ANTIOQUIA","LIC. EN EDUCACION PREESCOLAR","TURBO","UNIVERSITARIA","NO"
"2,014","2","MATRICULA Y SOSTENIMIENTO","ANTIOQUIA","YOLOMBO","1992 Sep 06 12:00:00 AM","MASCULINO","NORDESTE","YOLOMBO","ESTRATO 2","NINGUNO","NO","INSTITUCION UNIVERSITARIA PASCUAL BRAVO","TECNOLOGIA EN MECANICA AUTOMOTRIZ","YOLOMBO","TECNOLOGICA","SI"
"2,014","2","MATRICULA Y SOSTENIMIENTO","ANTIOQUIA","CONCEPCION","1994 Dec 21 12:00:00 AM","MASCULINO","ORIENTE","CONCEPCION","ESTRATO 3","NINGUNO","NO","COREDI","TECNOLOGIA EN PRODUCCION AGROECOLOGICA","MARINILLA","TECNOLOGICA","SI"
"2,014","2","MATRICULA Y SOSTENIMIENTO","CORDOBA","MONTERIA","1997 Oct 07 12:00:00 AM","MASCULINO","URABA","TURBO","ESTRATO 1","NINGUNO","NO","UNIVERSIDAD DE ANTIOQUIA","TECNOLOGIA EN SISTEMAS DE INFORMACION EN SALUD","TURBO","TECNOLOGICA","NO"
"2,014","2","MATRICULA Y SOSTENIMIENTO","ANTIOQUIA","CAMPAMENTO","1996 Jul 18 12:00:00 AM","FEMENINO","NORTE","CAMPAMENTO","ESTRATO 2","NINGUNO","NO","COREDI","TECNOLOGIA EN PRODUCCION AGROECOLOGICA","MARINILLA","TECNOLOGICA","NO"
"2,014","2","MATRICULA","ANTIOQUIA","ENVIGADO","1990 Feb 03 12:00:00 AM","MASCULINO","NORTE","SANTA ROSA DE OSOS","ESTRATO 2","NINGUNO","NO","INSTITUCION EDUCATIVA ESCUELA NORMAL SUPERIOR PEDRO JUSTO BERRIO","CICLO COMPLEMENTARIO","SANTA ROSA DE OSOS","NORMALISTA","SI"
